Date,Customer_ID,Customer_Segment,Region,City,Category,Product,Price,Quantity,Total_Amount,Discount_Rate,Discount_Amount,Final_Amount,Sales_Channel,Payment_Method,Year,Month,Quarter,Day_of_Week,Day_of_Year,Week_of_Year,Is_Weekend,Is_Holiday_Season,Is_Summer,Total_Spent,Order_Count,Avg_Order_Value,First_Order,Last_Order,Customer_Lifetime_Days,Product_Revenue,Product_Orders,Product_Avg_Price,Product_Quantity_Sold,Category_Revenue,Category_Orders,Category_Avg_Price,Category_Quantity_Sold,Region_Revenue,Region_Orders,Region_Avg_Order,Region_Customers,Channel_Revenue,Channel_Orders,Channel_Avg_Order,Payment_Revenue,Payment_Orders,Payment_Avg_Order,Segment_Revenue,Segment_Orders,Segment_Avg_Order,Segment_Customers,Estimated_Cost,Estimated_Profit,Profit_Margin,Customer_Value_Tier
2024-05-14,CUST_1188,VIP,Australia,Adelaide,Clothing,Shoes,230.48,5,1152.41,0.15,172.86,979.54,Online,Bank Transfer,2024,5,2,Tuesday,135,20,False,False,False,979.54,1,979.54,2024-05-14,2024-05-14,0,137547.5,231,595.44,1188,755914.15,1272,594.27,6615,4024694.57,2597,1549.75,2244,4014923.32,2552,1573.25,3168358.48,1962,1614.86,3931138.23,2479,1585.78,2186,138.28799999999998,288.1,29.411764705882355,Gold
2023-07-01,CUST_9201,Regular,Asia,Hong Kong,Beauty,Skincare,76.25,6,457.52,0.1,45.75,452.94,In-Store,Bank Transfer,2023,7,3,Saturday,182,26,True,False,True,452.94,1,452.94,2023-07-01,2023-07-01,0,116456.61,253,460.3,1387,562465.16,1244,452.14,6707,3827136.57,2421,1580.81,2132,3799942.54,2464,1542.18,3168358.48,1962,1614.86,4186855.1,2525,1658.16,2227,45.75,178.44,39.39594648297788,Silver
2022-08-06,CUST_9689,Budget,Europe,Paris,Books,Children,28.35,15,425.25,0.1,42.53,421.0,Online,Bank Transfer,2022,8,3,Saturday,218,31,True,False,True,421.0,1,421.0,2022-08-06,2022-08-06,0,30145.14,193,156.19,991,198801.01,1192,166.78,6439,4233105.72,2507,1688.51,2180,4014923.32,2552,1573.25,3168358.48,1962,1614.86,4802112.68,2570,1868.53,2218,17.01,165.84999999999997,39.39429928741092,Silver
2023-10-26,CUST_2290,Budget,North America,Chicago,Toys,Board Games,27.41,6,164.46,0.1,16.45,148.01,Online,Digital Wallet,2023,10,4,Thursday,299,43,False,False,False,1668.23,3,556.08,2022-09-18,2024-02-22,522,88185.89,280,314.95,1444,427069.18,1315,324.77,6837,3979222.64,2475,1607.77,2160,4014923.32,2552,1573.25,3314861.11,2038,1626.53,4802112.68,2570,1868.53,2218,16.445999999999998,49.334,33.33153165326668,Platinum
2022-05-22,CUST_7932,Regular,Australia,Adelaide,Home & Garden,Kitchen Appliances,169.28,10,1692.75,0.1,169.28,1523.48,In-Store,Bank Transfer,2022,5,2,Sunday,142,20,True,False,False,2211.48,2,1105.74,2022-01-29,2022-05-22,113,361448.63,243,1487.44,1282,1889517.74,1265,1493.69,6727,4024694.57,2597,1549.75,2244,3799942.54,2464,1542.18,3168358.48,1962,1614.86,4186855.1,2525,1658.16,2227,101.568,507.80000000000007,33.33158295481398,Platinum
2023-02-16,CUST_2049,VIP,Asia,Hong Kong,Books,Cookbook,29.68,2,59.36,0.05,2.97,56.39,Mobile App,Credit Card,2023,2,1,Thursday,47,7,False,False,False,1009.81,3,336.6,2023-02-16,2024-08-16,547,33835.03,206,164.25,1056,198801.01,1192,166.78,6439,3827136.57,2421,1580.81,2132,4246388.07,2508,1693.14,3184046.42,2054,1550.17,3931138.23,2479,1585.78,2186,17.808,20.774,36.83986522433055,Platinum
2023-04-17,CUST_6413,Regular,North America,New York,Sports,Basketball,48.2,2,96.4,0.0,0.0,96.4,Online,Bank Transfer,2023,4,2,Monday,107,16,False,False,False,1077.57,2,538.78,2022-07-28,2023-04-17,263,249891.35,275,908.7,1494,1162542.94,1267,917.56,6819,3979222.64,2475,1607.77,2160,4014923.32,2552,1573.25,3168358.48,1962,1614.86,4186855.1,2525,1658.16,2227,28.92,38.56,40.0,Platinum
2023-05-03,CUST_8744,Regular,Australia,Melbourne,Books,Children,38.93,10,389.34,0.1,38.93,350.41,In-Store,Digital Wallet,2023,5,2,Wednesday,123,18,False,False,False,491.67,2,245.84,2022-06-29,2023-05-03,308,30145.14,193,156.19,991,198801.01,1192,166.78,6439,4024694.57,2597,1549.75,2244,3799942.54,2464,1542.18,3314861.11,2038,1626.53,4186855.1,2525,1658.16,2227,23.358,116.83000000000001,33.34094346622528,Silver
2024-04-13,CUST_1887,Budget,North America,Toronto,Sports,Basketball,101.06,12,1212.68,0.1,121.27,1091.41,Online,Credit Card,2024,4,2,Saturday,104,15,True,False,False,1091.41,1,1091.41,2024-04-13,2024-04-13,0,249891.35,275,908.7,1494,1162542.94,1267,917.56,6819,3979222.64,2475,1607.77,2160,4014923.32,2552,1573.25,3184046.42,2054,1550.17,4802112.68,2570,1868.53,2218,60.635999999999996,363.77800000000013,33.33101217690878,Platinum
2024-04-04,CUST_7912,Regular,Europe,Paris,Beauty,Skincare,87.4,4,349.59,0.1,34.96,314.63,In-Store,Cash,2024,4,2,Thursday,95,14,False,False,False,8385.62,3,2795.21,2024-01-28,2024-04-12,75,116456.61,253,460.3,1387,562465.16,1244,452.14,6707,4233105.72,2507,1688.51,2180,3799942.54,2464,1542.18,3159571.19,1924,1642.19,4186855.1,2525,1658.16,2227,52.440000000000005,104.86999999999998,33.33121444236086,Platinum
2024-08-05,CUST_1241,Premium,Australia,Adelaide,Sports,Basketball,65.49,5,327.44,0.1,32.74,324.17,Online,Debit Card,2024,8,3,Monday,218,32,False,False,True,2730.53,2,1365.26,2024-08-05,2024-08-15,10,249891.35,275,908.7,1494,1162542.94,1267,917.56,6819,4024694.57,2597,1549.75,2244,4014923.32,2552,1573.25,3237322.3,2022,1601.05,3144053.49,2426,1295.98,2130,39.294,127.70000000000005,39.392911126877884,Platinum
2022-12-07,CUST_7209,VIP,Australia,Melbourne,Automotive,Maintenance,1824.4,2,3648.79,0.05,182.44,4506.26,Online,Digital Wallet,2022,12,4,Wednesday,341,49,False,True,False,4506.26,1,4506.26,2022-12-07,2022-12-07,0,759634.78,267,2845.07,1413,3834518.24,1252,3062.71,6597,4024694.57,2597,1549.75,2244,4014923.32,2552,1573.25,3314861.11,2038,1626.53,3931138.23,2479,1585.78,2186,1094.64,2316.98,51.416917798795446,Platinum
2023-06-28,CUST_4566,VIP,Australia,Adelaide,Toys,Puzzles,64.77,3,194.3,0.15,29.15,181.67,Online,Bank Transfer,2023,6,2,Wednesday,179,26,False,False,True,2967.26,2,1483.63,2023-06-28,2023-10-20,114,89491.66,268,333.92,1414,427069.18,1315,324.77,6837,4024694.57,2597,1549.75,2244,4014923.32,2552,1573.25,3168358.48,1962,1614.86,3931138.23,2479,1585.78,2186,38.861999999999995,65.084,35.82539769912479,Platinum
2022-05-05,CUST_3579,VIP,North America,Vancouver,Beauty,Skincare,165.77,5,828.85,0.15,124.33,704.52,Online,Bank Transfer,2022,5,2,Thursday,125,18,False,False,False,1591.77,3,530.59,2022-03-10,2023-05-28,444,116456.61,253,460.3,1387,562465.16,1244,452.14,6707,3979222.64,2475,1607.77,2160,4014923.32,2552,1573.25,3168358.48,1962,1614.86,3931138.23,2479,1585.78,2186,99.462,207.20999999999998,29.411514222449327,Platinum
2022-06-14,CUST_5033,VIP,North America,Los Angeles,Home & Garden,Furniture,207.9,5,1039.49,0.15,155.92,971.92,Online,Bank Transfer,2022,6,2,Tuesday,165,24,False,False,True,1318.41,2,659.2,2022-06-14,2023-11-09,513,392779.76,256,1534.3,1420,1889517.74,1265,1493.69,6727,3979222.64,2475,1607.77,2160,4014923.32,2552,1573.25,3168358.48,1962,1614.86,3931138.23,2479,1585.78,2186,124.74,348.22,35.82805169149725,Platinum
2022-06-17,CUST_4910,Regular,Asia,Seoul,Automotive,Electronics,702.75,6,4216.52,0.1,421.65,4174.36,Mobile App,Digital Wallet,2022,6,2,Friday,168,24,False,False,True,4174.36,1,4174.36,2022-06-17,2022-06-17,0,714231.79,238,3000.97,1270,3834518.24,1252,3062.71,6597,3827136.57,2421,1580.81,2132,4246388.07,2508,1693.14,3314861.11,2038,1626.53,4186855.1,2525,1658.16,2227,421.65,1644.46,39.394302360122275,Platinum
2022-09-26,CUST_2638,Premium,Asia,Tokyo,Books,Cookbook,42.5,5,212.49,0.1,21.25,191.24,Online,Bank Transfer,2022,9,3,Monday,269,39,False,False,False,1467.87,3,489.29,2022-09-26,2024-09-25,730,33835.03,206,164.25,1056,198801.01,1192,166.78,6439,3827136.57,2421,1580.81,2132,4014923.32,2552,1573.25,3168358.48,1962,1614.86,3144053.49,2426,1295.98,2130,25.5,63.74000000000001,33.32984731227777,Platinum
2023-03-13,CUST_8179,Regular,Asia,Tokyo,Books,Non-Fiction,24.78,4,99.12,0.1,9.91,89.21,Mobile App,Bank Transfer,2023,3,1,Monday,72,11,False,False,False,89.21,1,89.21,2023-03-13,2023-03-13,0,33238.02,191,174.02,1118,198801.01,1192,166.78,6439,3827136.57,2421,1580.81,2132,4246388.07,2508,1693.14,3168358.48,1962,1614.86,4186855.1,2525,1658.16,2227,14.868,29.737999999999992,33.3348279340881,Bronze
2024-12-19,CUST_3546,Regular,Asia,Tokyo,Electronics,Smartwatch,676.04,2,1352.08,0.0,0.0,1757.7,Mobile App,Cash,2024,12,4,Thursday,354,51,False,True,False,2363.89,2,1181.95,2024-12-19,2024-12-20,1,965973.36,169,5715.82,844,7233331.08,1193,6063.14,6414,3827136.57,2421,1580.81,2132,4246388.07,2508,1693.14,3159571.19,1924,1642.19,4186855.1,2525,1658.16,2227,405.62399999999997,946.4520000000001,53.84604881379076,Platinum
2023-03-08,CUST_2512,VIP,Asia,Bangkok,Beauty,Makeup,97.8,1,97.8,0.05,4.89,92.91,Phone,Cash,2023,3,1,Wednesday,67,10,False,False,False,2489.22,2,1244.61,2023-03-08,2024-12-20,653,109767.69,249,440.83,1310,562465.16,1244,452.14,6707,3827136.57,2421,1580.81,2132,4002905.57,2476,1616.68,3159571.19,1924,1642.19,3931138.23,2479,1585.78,2186,58.67999999999999,34.230000000000004,36.8421052631579,Platinum
2022-04-01,CUST_8007,Regular,Europe,Berlin,Electronics,Tablet,1534.22,10,15342.16,0.1,1534.22,13807.94,Online,Credit Card,2022,4,2,Friday,91,13,False,False,False,17618.18,3,5872.73,2022-04-01,2023-01-17,291,1247599.82,203,6145.81,1181,7233331.08,1193,6063.14,6414,4233105.72,2507,1688.51,2180,4014923.32,2552,1573.25,3184046.42,2054,1550.17,4186855.1,2525,1658.16,2227,920.532,4602.620000000001,33.33314020773555,Platinum
2022-06-04,CUST_6050,Regular,North America,Chicago,Home & Garden,Decor,243.4,2,486.81,0.0,0.0,535.49,Mobile App,Credit Card,2022,6,2,Saturday,155,22,True,False,True,3219.06,3,1073.02,2022-06-04,2023-06-27,388,421278.39,273,1543.14,1516,1889517.74,1265,1493.69,6727,3979222.64,2475,1607.77,2160,4246388.07,2508,1693.14,3184046.42,2054,1550.17,4186855.1,2525,1658.16,2227,146.04,243.41000000000003,45.45556406282097,Platinum
2024-01-03,CUST_4878,VIP,North America,Chicago,Sports,Tennis Racket,585.87,2,1171.74,0.05,58.59,1113.16,In-Store,Debit Card,2024,1,1,Wednesday,3,1,False,False,False,1113.16,1,1113.16,2024-01-03,2024-01-03,0,235335.84,258,912.15,1379,1162542.94,1267,917.56,6819,3979222.64,2475,1607.77,2160,3799942.54,2464,1542.18,3237322.3,2022,1601.05,3931138.23,2479,1585.78,2186,351.522,410.1160000000001,36.842502425527336,Platinum
2024-04-24,CUST_7267,Regular,Asia,Hong Kong,Electronics,Smartphone,680.25,2,1360.5,0.0,0.0,1360.5,Online,Digital Wallet,2024,4,2,Wednesday,115,17,False,False,False,17465.62,3,5821.87,2022-10-26,2024-04-24,546,1325345.54,216,6135.86,1109,7233331.08,1193,6063.14,6414,3827136.57,2421,1580.81,2132,4014923.32,2552,1573.25,3314861.11,2038,1626.53,4186855.1,2525,1658.16,2227,408.15,544.2,40.0,Platinum
2023-04-01,CUST_7528,Regular,Asia,Seoul,Sports,Running Shoes,90.19,4,360.76,0.1,36.08,324.68,Mobile App,Cash,2023,4,2,Saturday,91,13,True,False,False,1679.97,2,839.98,2023-04-01,2024-06-28,454,211122.47,230,917.92,1299,1162542.94,1267,917.56,6819,3827136.57,2421,1580.81,2132,4246388.07,2508,1693.14,3159571.19,1924,1642.19,4186855.1,2525,1658.16,2227,54.114,108.22400000000002,33.332512011827035,Platinum
2022-05-23,CUST_5279,Budget,Australia,Adelaide,Books,Educational,33.3,3,99.9,0.1,9.99,89.91,In-Store,Bank Transfer,2022,5,2,Monday,143,21,False,False,False,89.91,1,89.91,2022-05-23,2022-05-23,0,31692.74,186,170.39,1014,198801.01,1192,166.78,6439,4024694.57,2597,1549.75,2244,3799942.54,2464,1542.18,3168358.48,1962,1614.86,4802112.68,2570,1868.53,2218,19.979999999999997,29.970000000000006,33.33333333333334,Bronze
2023-06-28,CUST_2894,Budget,Australia,Brisbane,Electronics,Laptop,689.86,15,10347.84,0.1,1034.78,10244.37,Phone,Bank Transfer,2023,6,2,Wednesday,179,26,False,False,True,11390.75,4,2847.69,2022-06-19,2024-05-31,712,1219301.46,210,5806.2,1134,7233331.08,1193,6063.14,6414,4024694.57,2597,1549.75,2244,4002905.57,2476,1616.68,3168358.48,1962,1614.86,4802112.68,2570,1868.53,2218,413.916,4035.630000000001,39.39363767610893,Platinum
2023-01-25,CUST_6409,Regular,Australia,Sydney,Books,Fiction,24.57,2,49.14,0.0,0.0,49.14,Mobile App,Credit Card,2023,1,1,Wednesday,25,4,False,False,False,553.73,3,184.58,2023-01-25,2024-12-07,682,37297.98,225,165.77,1175,198801.01,1192,166.78,6439,4024694.57,2597,1549.75,2244,4246388.07,2508,1693.14,3184046.42,2054,1550.17,4186855.1,2525,1658.16,2227,14.741999999999999,19.656000000000002,40.0,Gold
2023-09-08,CUST_3085,VIP,Australia,Brisbane,Books,Children,75.78,5,378.88,0.15,56.83,322.05,In-Store,Digital Wallet,2023,9,3,Friday,251,36,False,False,False,322.05,1,322.05,2023-09-08,2023-09-08,0,30145.14,193,156.19,991,198801.01,1192,166.78,6439,4024694.57,2597,1549.75,2244,3799942.54,2464,1542.18,3314861.11,2038,1626.53,3931138.23,2479,1585.78,2186,45.467999999999996,94.71000000000004,29.408476944573835,Silver
2024-02-16,CUST_8043,Premium,Asia,Hong Kong,Home & Garden,Decor,280.12,2,560.23,0.0,0.0,560.23,Mobile App,Digital Wallet,2024,2,1,Friday,47,7,False,False,False,560.23,1,560.23,2024-02-16,2024-02-16,0,421278.39,273,1543.14,1516,1889517.74,1265,1493.69,6727,3827136.57,2421,1580.81,2132,4246388.07,2508,1693.14,3314861.11,2038,1626.53,3144053.49,2426,1295.98,2130,168.072,224.086,39.998929011298934,Gold
2024-06-23,CUST_6491,Premium,Australia,Melbourne,Toys,Action Figures,64.05,5,320.27,0.1,32.03,317.07,Online,Debit Card,2024,6,2,Sunday,175,25,True,False,True,10253.74,4,2563.44,2022-08-08,2024-06-23,685,76781.17,248,309.6,1290,427069.18,1315,324.77,6837,4024694.57,2597,1549.75,2244,4014923.32,2552,1573.25,3237322.3,2022,1601.05,3144053.49,2426,1295.98,2130,38.43,124.91999999999999,39.398240136247516,Platinum
2023-09-28,CUST_2193,Premium,Europe,London,Sports,Tennis Racket,144.16,4,576.64,0.1,57.66,518.98,Phone,Digital Wallet,2023,9,3,Thursday,271,39,False,False,False,518.98,1,518.98,2023-09-28,2023-09-28,0,235335.84,258,912.15,1379,1162542.94,1267,917.56,6819,4233105.72,2507,1688.51,2180,4002905.57,2476,1616.68,3314861.11,2038,1626.53,3144053.49,2426,1295.98,2130,86.496,172.99600000000004,33.333847161740344,Gold
2023-02-03,CUST_2746,Regular,Australia,Melbourne,Automotive,Maintenance,690.45,2,1380.9,0.0,0.0,1380.9,Phone,Debit Card,2023,2,1,Friday,34,5,False,False,False,6092.31,2,3046.16,2023-02-03,2024-09-24,599,759634.78,267,2845.07,1413,3834518.24,1252,3062.71,6597,4024694.57,2597,1549.75,2244,4002905.57,2476,1616.68,3237322.3,2022,1601.05,4186855.1,2525,1658.16,2227,414.27000000000004,552.36,40.0,Platinum
2022-12-27,CUST_9702,VIP,Europe,London,Toys,Board Games,61.33,4,245.34,0.15,36.8,271.1,Mobile App,Digital Wallet,2022,12,4,Tuesday,361,52,False,True,False,2129.55,3,709.85,2022-01-15,2022-12-27,346,88185.89,280,314.95,1444,427069.18,1315,324.77,6837,4233105.72,2507,1688.51,2180,4246388.07,2508,1693.14,3314861.11,2038,1626.53,3931138.23,2479,1585.78,2186,36.797999999999995,123.90800000000004,45.705643673921074,Platinum
2024-10-30,CUST_5543,VIP,Australia,Melbourne,Automotive,Electronics,1010.13,2,2020.25,0.05,101.01,1919.24,Phone,Debit Card,2024,10,4,Wednesday,304,44,False,False,False,1919.24,1,1919.24,2024-10-30,2024-10-30,0,714231.79,238,3000.97,1270,3834518.24,1252,3062.71,6597,4024694.57,2597,1549.75,2244,4002905.57,2476,1616.68,3237322.3,2022,1601.05,3931138.23,2479,1585.78,2186,606.078,707.0840000000001,36.84187490881808,Platinum
2023-07-17,CUST_2320,Budget,Asia,Singapore,Toys,Board Games,32.81,15,492.11,0.1,49.21,487.19,In-Store,Debit Card,2023,7,3,Monday,198,29,False,False,True,938.99,3,313.0,2022-09-28,2023-10-17,384,88185.89,280,314.95,1444,427069.18,1315,324.77,6837,3827136.57,2421,1580.81,2132,3799942.54,2464,1542.18,3237322.3,2022,1601.05,4802112.68,2570,1868.53,2218,19.686,191.89999999999998,39.38915002360475,Gold
2023-04-19,CUST_8633,VIP,Europe,London,Automotive,Accessories,933.68,5,4668.39,0.15,700.26,3968.14,Phone,Credit Card,2023,4,2,Wednesday,109,16,False,False,False,4050.76,2,2025.38,2023-04-19,2023-04-21,2,854754.31,269,3177.53,1406,3834518.24,1252,3062.71,6597,4233105.72,2507,1688.51,2180,4002905.57,2476,1616.68,3184046.42,2054,1550.17,3931138.23,2479,1585.78,2186,560.208,1167.1,29.411764705882355,Platinum
2023-02-28,CUST_5892,VIP,North America,Vancouver,Automotive,Maintenance,1058.56,3,3175.69,0.15,476.35,2699.34,Phone,Digital Wallet,2023,2,1,Tuesday,59,9,False,False,False,2699.34,1,2699.34,2023-02-28,2023-02-28,0,759634.78,267,2845.07,1413,3834518.24,1252,3062.71,6597,3979222.64,2475,1607.77,2160,4002905.57,2476,1616.68,3314861.11,2038,1626.53,3931138.23,2479,1585.78,2186,635.136,793.9320000000002,29.41207850807976,Platinum
2023-03-28,CUST_7624,VIP,Asia,Hong Kong,Toys,Action Figures,44.64,3,133.93,0.15,20.09,113.84,In-Store,Digital Wallet,2023,3,1,Tuesday,87,13,False,False,False,113.84,1,113.84,2023-03-28,2023-03-28,0,76781.17,248,309.6,1290,427069.18,1315,324.77,6837,3827136.57,2421,1580.81,2132,3799942.54,2464,1542.18,3314861.11,2038,1626.53,3931138.23,2479,1585.78,2186,26.784,33.488,29.41672522839072,Silver
2022-09-19,CUST_3977,VIP,North America,New York,Electronics,Headphones,888.52,4,3554.07,0.15,533.11,3020.96,Online,Cash,2022,9,3,Monday,262,38,False,False,False,3020.96,1,3020.96,2022-09-19,2022-09-19,0,1156459.32,181,6389.28,1003,7233331.08,1193,6063.14,6414,3979222.64,2475,1607.77,2160,4014923.32,2552,1573.25,3159571.19,1924,1642.19,3931138.23,2479,1585.78,2186,533.112,888.5120000000002,29.411577776600822,Platinum
2024-02-16,CUST_5558,Budget,Australia,Brisbane,Beauty,Makeup,82.44,12,989.23,0.1,98.92,890.31,Phone,Cash,2024,2,1,Friday,47,7,False,False,False,2016.52,3,672.17,2022-05-25,2024-02-16,632,109767.69,249,440.83,1310,562465.16,1244,452.14,6707,4024694.57,2597,1549.75,2244,4002905.57,2476,1616.68,3159571.19,1924,1642.19,4802112.68,2570,1868.53,2218,49.464,296.74199999999996,33.33018836135728,Platinum
2022-06-17,CUST_1508,Regular,North America,Chicago,Toys,Board Games,72.01,2,144.02,0.0,0.0,158.43,In-Store,Debit Card,2022,6,2,Friday,168,24,False,False,True,158.43,1,158.43,2022-06-17,2022-06-17,0,88185.89,280,314.95,1444,427069.18,1315,324.77,6837,3979222.64,2475,1607.77,2160,3799942.54,2464,1542.18,3237322.3,2022,1601.05,4186855.1,2525,1658.16,2227,43.206,72.018,45.457299753834505,Silver
2022-02-11,CUST_8619,Premium,Europe,Madrid,Home & Garden,Kitchen Appliances,455.68,2,911.36,0.0,0.0,911.36,Mobile App,Cash,2022,2,1,Friday,42,6,False,False,False,1314.62,2,657.31,2022-02-11,2023-05-06,449,361448.63,243,1487.44,1282,1889517.74,1265,1493.69,6727,4233105.72,2507,1688.51,2180,4246388.07,2508,1693.14,3159571.19,1924,1642.19,3144053.49,2426,1295.98,2130,273.408,364.544,40.0,Platinum
2022-12-10,CUST_7149,Premium,Asia,Tokyo,Clothing,Jeans,280.8,5,1404.0,0.1,140.4,1642.68,Phone,Debit Card,2022,12,4,Saturday,344,49,True,True,False,2382.56,3,794.19,2022-12-10,2024-11-13,704,129275.15,216,598.5,1126,755914.15,1272,594.27,6615,3827136.57,2421,1580.81,2132,4002905.57,2476,1616.68,3237322.3,2022,1601.05,3144053.49,2426,1295.98,2130,168.48,800.2800000000001,48.71794871794872,Platinum
2022-06-05,CUST_1672,Premium,Asia,Bangkok,Sports,Basketball,367.47,5,1837.36,0.1,183.74,1818.99,Mobile App,Bank Transfer,2022,6,2,Sunday,156,22,True,False,True,2351.09,3,783.7,2022-06-05,2024-03-03,637,249891.35,275,908.7,1494,1162542.94,1267,917.56,6819,3827136.57,2421,1580.81,2132,4246388.07,2508,1693.14,3168358.48,1962,1614.86,3144053.49,2426,1295.98,2130,220.482,716.5799999999999,39.39438919400326,Platinum
