Date,Customer_ID,Customer_Segment,Region,City,Category,Product,Price,Quantity,Total_Amount,Discount_Rate,Discount_Amount,Final_Amount,Sales_Channel,Payment_Method,Year,Month,Quarter
2022-08-06,CUST_9689,Budget,Europe,Paris,Books,Children,28.35,15,425.25,0.1,42.53,421.0,Online,Bank Transfer,2022,8,3
2023-10-26,CUST_2290,Budget,North America,Chicago,Toys,Board Games,27.41,6,164.46,0.1,16.45,148.01,Online,Digital Wallet,2023,10,4
2022-05-22,CUST_7932,Regular,Australia,Adelaide,Home & Garden,Kitchen Appliances,169.28,10,1692.75,0.1,169.28,1523.48,In-Store,Bank Transfer,2022,5,2
2023-02-16,CUST_2049,VIP,Asia,Hong Kong,Books,Cookbook,29.68,2,59.36,0.05,2.97,56.39,Mobile App,Credit Card,2023,2,1
2023-04-17,CUST_6413,Regular,North America,New York,Sports,Basketball,48.2,2,96.4,0.0,0.0,96.4,Online,Bank Transfer,2023,4,2
2023-05-03,CUST_8744,Regular,Australia,Melbourne,Books,Children,38.93,10,389.34,0.1,38.93,350.41,In-Store,Digital Wallet,2023,5,2
2024-04-13,CUST_1887,Budget,North America,Toronto,Sports,Basketball,101.06,12,1212.68,0.1,121.27,1091.41,Online,Credit Card,2024,4,2
2024-04-04,CUST_7912,Regular,Europe,Paris,Beauty,Skincare,87.4,4,349.59,0.1,34.96,314.63,In-Store,Cash,2024,4,2
2024-08-05,CUST_1241,Premium,Australia,Adelaide,Sports,Basketball,65.49,5,327.44,0.1,32.74,324.17,Online,Debit Card,2024,8,3
2022-12-07,CUST_7209,VIP,Australia,Melbourne,Automotive,Maintenance,1824.4,2,3648.79,0.05,182.44,4506.26,Online,Digital Wallet,2022,12,4
2023-06-28,CUST_4566,VIP,Australia,Adelaide,Toys,Puzzles,64.77,3,194.3,0.15,29.15,181.67,Online,Bank Transfer,2023,6,2
2022-05-05,CUST_3579,VIP,North America,Vancouver,Beauty,Skincare,165.77,5,828.85,0.15,124.33,704.52,Online,Bank Transfer,2022,5,2
2022-06-14,CUST_5033,VIP,North America,Los Angeles,Home & Garden,Furniture,207.9,5,1039.49,0.15,155.92,971.92,Online,Bank Transfer,2022,6,2
2022-06-17,CUST_4910,Regular,Asia,Seoul,Automotive,Electronics,702.75,6,4216.52,0.1,421.65,4174.36,Mobile App,Digital Wallet,2022,6,2
2022-09-26,CUST_2638,Premium,Asia,Tokyo,Books,Cookbook,42.5,5,212.49,0.1,21.25,191.24,Online,Bank Transfer,2022,9,3
2023-03-13,CUST_8179,Regular,Asia,Tokyo,Books,Non-Fiction,24.78,4,99.12,0.1,9.91,89.21,Mobile App,Bank Transfer,2023,3,1
2024-12-19,CUST_3546,Regular,Asia,Tokyo,Electronics,Smartwatch,676.04,2,1352.08,0.0,0.0,1757.7,Mobile App,Cash,2024,12,4
2023-03-08,CUST_2512,VIP,Asia,Bangkok,Beauty,Makeup,97.8,1,97.8,0.05,4.89,92.91,Phone,Cash,2023,3,1
2022-04-01,CUST_8007,Regular,Europe,Berlin,Electronics,Tablet,1534.22,10,15342.16,0.1,1534.22,13807.94,Online,Credit Card,2022,4,2
2022-06-04,CUST_6050,Regular,North America,Chicago,Home & Garden,Decor,243.4,2,486.81,0.0,0.0,535.49,Mobile App,Credit Card,2022,6,2
2024-01-03,CUST_4878,VIP,North America,Chicago,Sports,Tennis Racket,585.87,2,1171.74,0.05,58.59,1113.16,In-Store,Debit Card,2024,1,1
2024-04-24,CUST_7267,Regular,Asia,Hong Kong,Electronics,Smartphone,680.25,2,1360.5,0.0,0.0,1360.5,Online,Digital Wallet,2024,4,2
2023-04-01,CUST_7528,Regular,Asia,Seoul,Sports,Running Shoes,90.19,4,360.76,0.1,36.08,324.68,Mobile App,Cash,2023,4,2
2022-05-23,CUST_5279,Budget,Australia,Adelaide,Books,Educational,33.3,3,99.9,0.1,9.99,89.91,In-Store,Bank Transfer,2022,5,2
2023-06-28,CUST_2894,Budget,Australia,Brisbane,Electronics,Laptop,689.86,15,10347.84,0.1,1034.78,10244.37,Phone,Bank Transfer,2023,6,2
2023-01-25,CUST_6409,Regular,Australia,Sydney,Books,Fiction,24.57,2,49.14,0.0,0.0,49.14,Mobile App,Credit Card,2023,1,1
2023-09-08,CUST_3085,VIP,Australia,Brisbane,Books,Children,75.78,5,378.88,0.15,56.83,322.05,In-Store,Digital Wallet,2023,9,3
2024-02-16,CUST_8043,Premium,Asia,Hong Kong,Home & Garden,Decor,280.12,2,560.23,0.0,0.0,560.23,Mobile App,Digital Wallet,2024,2,1
2024-06-23,CUST_6491,Premium,Australia,Melbourne,Toys,Action Figures,64.05,5,320.27,0.1,32.03,317.07,Online,Debit Card,2024,6,2
2023-09-28,CUST_2193,Premium,Europe,London,Sports,Tennis Racket,144.16,4,576.64,0.1,57.66,518.98,Phone,Digital Wallet,2023,9,3
2023-02-03,CUST_2746,Regular,Australia,Melbourne,Automotive,Maintenance,690.45,2,1380.9,0.0,0.0,1380.9,Phone,Debit Card,2023,2,1
2022-12-27,CUST_9702,VIP,Europe,London,Toys,Board Games,61.33,4,245.34,0.15,36.8,271.1,Mobile App,Digital Wallet,2022,12,4
2024-10-30,CUST_5543,VIP,Australia,Melbourne,Automotive,Electronics,1010.13,2,2020.25,0.05,101.01,1919.24,Phone,Debit Card,2024,10,4
2023-07-17,CUST_2320,Budget,Asia,Singapore,Toys,Board Games,32.81,15,492.11,0.1,49.21,487.19,In-Store,Debit Card,2023,7,3
2023-04-19,CUST_8633,VIP,Europe,London,Automotive,Accessories,933.68,5,4668.39,0.15,700.26,3968.14,Phone,Credit Card,2023,4,2
2023-02-28,CUST_5892,VIP,North America,Vancouver,Automotive,Maintenance,1058.56,3,3175.69,0.15,476.35,2699.34,Phone,Digital Wallet,2023,2,1
2023-03-28,CUST_7624,VIP,Asia,Hong Kong,Toys,Action Figures,44.64,3,133.93,0.15,20.09,113.84,In-Store,Digital Wallet,2023,3,1
2022-09-19,CUST_3977,VIP,North America,New York,Electronics,Headphones,888.52,4,3554.07,0.15,533.11,3020.96,Online,Cash,2022,9,3
2024-02-16,CUST_5558,Budget,Australia,Brisbane,Beauty,Makeup,82.44,12,989.23,0.1,98.92,890.31,Phone,Cash,2024,2,1
2022-06-17,CUST_1508,Regular,North America,Chicago,Toys,Board Games,72.01,2,144.02,0.0,0.0,158.43,In-Store,Debit Card,2022,6,2
2022-02-11,CUST_8619,Premium,Europe,Madrid,Home & Garden,Kitchen Appliances,455.68,2,911.36,0.0,0.0,911.36,Mobile App,Cash,2022,2,1
2022-12-10,CUST_7149,Premium,Asia,Tokyo,Clothing,Jeans,280.8,5,1404.0,0.1,140.4,1642.68,Phone,Debit Card,2022,12,4
2022-06-05,CUST_1672,Premium,Asia,Bangkok,Sports,Basketball,367.47,5,1837.36,0.1,183.74,1818.99,Mobile App,Bank Transfer,2022,6,2
2024-05-27,CUST_8102,VIP,Asia,Tokyo,Beauty,Skincare,252.03,1,252.03,0.05,12.6,239.43,Mobile App,Digital Wallet,2024,5,2
2022-11-10,CUST_5397,VIP,Asia,Bangkok,Automotive,Accessories,1036.77,5,5183.86,0.15,777.58,5728.17,Mobile App,Debit Card,2022,11,4
2022-06-27,CUST_6325,VIP,Europe,Madrid,Books,Cookbook,46.91,4,187.65,0.15,28.15,175.45,In-Store,Digital Wallet,2022,6,2
2023-03-11,CUST_4130,Budget,Asia,Seoul,Beauty,Haircare,63.02,15,945.33,0.1,94.53,850.8,Online,Debit Card,2023,3,1
2024-04-12,CUST_2524,VIP,Europe,Madrid,Toys,Outdoor Toys,111.71,1,111.71,0.05,5.59,106.12,Mobile App,Debit Card,2024,4,2
2024-04-08,CUST_6419,Budget,Asia,Hong Kong,Sports,Yoga Mat,101.42,15,1521.3,0.1,152.13,1369.17,Mobile App,Digital Wallet,2024,4,2
2023-07-09,CUST_4033,Regular,Europe,London,Books,Educational,22.62,10,226.22,0.1,22.62,223.96,In-Store,Debit Card,2023,7,3
2024-09-18,CUST_3939,Regular,Asia,Tokyo,Books,Children,21.85,6,131.1,0.1,13.11,117.99,Mobile App,Credit Card,2024,9,3
2024-12-29,CUST_9042,Budget,North America,New York,Home & Garden,Garden Tools,254.69,6,1528.12,0.1,152.81,1787.9,Online,Credit Card,2024,12,4
2023-08-06,CUST_8827,Regular,Australia,Brisbane,Toys,Educational Toys,97.24,6,583.44,0.1,58.34,577.6,Online,Credit Card,2023,8,3
2024-03-31,CUST_2395,Regular,North America,Los Angeles,Toys,Board Games,84.89,6,509.35,0.1,50.93,458.41,In-Store,Credit Card,2024,3,1
2024-05-02,CUST_8025,VIP,Australia,Perth,Sports,Gym Equipment,220.57,5,1102.85,0.15,165.43,937.43,Mobile App,Bank Transfer,2024,5,2
2022-05-04,CUST_2229,Premium,Europe,Berlin,Clothing,Jeans,72.41,2,144.81,0.0,0.0,144.81,In-Store,Credit Card,2022,5,2
2024-04-16,CUST_8438,Premium,Australia,Brisbane,Toys,Outdoor Toys,57.78,3,173.33,0.1,17.33,156.0,Online,Debit Card,2024,4,2
2023-06-26,CUST_3330,Regular,North America,Vancouver,Sports,Running Shoes,204.86,6,1229.17,0.1,122.92,1216.88,Online,Credit Card,2023,6,2
2022-12-06,CUST_7594,Premium,Asia,Hong Kong,Books,Biography,43.12,3,129.37,0.1,12.94,151.36,Mobile App,Bank Transfer,2022,12,4
2024-10-08,CUST_2496,Budget,North America,Toronto,Toys,Board Games,47.81,3,143.42,0.1,14.34,129.08,In-Store,Bank Transfer,2024,10,4
2022-02-12,CUST_5557,VIP,North America,Los Angeles,Books,Biography,61.52,4,246.07,0.15,36.91,209.16,In-Store,Bank Transfer,2022,2,1
2024-06-11,CUST_3634,VIP,Australia,Brisbane,Toys,Board Games,93.33,1,93.33,0.05,4.67,97.53,Mobile App,Digital Wallet,2024,6,2
2024-10-11,CUST_5135,Premium,Australia,Adelaide,Books,Children,42.29,3,126.87,0.1,12.69,114.18,Mobile App,Credit Card,2024,10,4
2024-04-07,CUST_9167,Premium,Australia,Perth,Electronics,Smartwatch,806.47,3,2419.42,0.1,241.94,2177.48,Phone,Credit Card,2024,4,2
2023-02-21,CUST_2989,VIP,Europe,Berlin,Books,Biography,90.47,4,361.87,0.15,54.28,307.59,Online,Bank Transfer,2023,2,1
2023-05-06,CUST_8560,VIP,North America,Vancouver,Home & Garden,Garden Tools,183.89,1,183.89,0.05,9.19,174.69,Online,Debit Card,2023,5,2
2024-10-17,CUST_8483,VIP,Asia,Hong Kong,Books,Biography,98.42,2,196.84,0.05,9.84,187.0,In-Store,Digital Wallet,2024,10,4
2023-01-26,CUST_5377,Budget,Asia,Hong Kong,Home & Garden,Furniture,329.29,15,4939.32,0.1,493.93,4445.39,Online,Cash,2023,1,1
2023-09-04,CUST_9903,VIP,Australia,Adelaide,Toys,Action Figures,95.22,5,476.1,0.15,71.41,404.68,Phone,Digital Wallet,2023,9,3
2023-10-22,CUST_7246,VIP,Australia,Melbourne,Sports,Tennis Racket,83.57,4,334.28,0.15,50.14,284.14,Phone,Debit Card,2023,10,4
2024-10-11,CUST_1251,VIP,Asia,Tokyo,Electronics,Smartphone,758.96,4,3035.85,0.15,455.38,2580.47,In-Store,Digital Wallet,2024,10,4
2022-11-13,CUST_9742,VIP,Asia,Seoul,Clothing,Shoes,273.94,3,821.82,0.15,123.27,908.12,Phone,Cash,2022,11,4
2024-09-26,CUST_8110,Budget,North America,Los Angeles,Electronics,Camera,1396.76,3,4190.27,0.1,419.03,3771.24,Online,Credit Card,2024,9,3
2024-06-27,CUST_6873,Budget,North America,New York,Home & Garden,Garden Tools,285.79,9,2572.07,0.1,257.21,2546.35,Mobile App,Digital Wallet,2024,6,2
2022-10-26,CUST_7267,Regular,Australia,Adelaide,Sports,Gym Equipment,75.9,2,151.79,0.0,0.0,151.79,In-Store,Digital Wallet,2022,10,4
2022-10-21,CUST_5712,Budget,Asia,Hong Kong,Sports,Running Shoes,147.03,12,1764.39,0.1,176.44,1587.96,In-Store,Credit Card,2022,10,4
2024-06-23,CUST_4263,Budget,Asia,Hong Kong,Beauty,Bath Products,53.67,9,483.04,0.1,48.3,478.21,Phone,Digital Wallet,2024,6,2
2022-08-07,CUST_1359,Budget,Asia,Bangkok,Sports,Running Shoes,208.62,9,1877.57,0.1,187.76,1858.79,Phone,Cash,2022,8,3
2022-01-17,CUST_4588,Regular,Australia,Brisbane,Electronics,Camera,1292.72,6,7756.3,0.1,775.63,6980.67,In-Store,Bank Transfer,2022,1,1
2023-05-29,CUST_3153,VIP,North America,Chicago,Home & Garden,Furniture,130.03,3,390.08,0.15,58.51,331.57,Online,Cash,2023,5,2
2023-11-01,CUST_3695,Budget,Europe,Paris,Automotive,Accessories,404.44,9,3639.93,0.1,363.99,4258.72,Mobile App,Digital Wallet,2023,11,4
2023-08-28,CUST_7511,Regular,Australia,Sydney,Beauty,Skincare,116.81,4,467.24,0.1,46.72,462.57,Mobile App,Credit Card,2023,8,3
2024-03-19,CUST_7242,Budget,North America,Toronto,Electronics,Tablet,987.76,9,8889.87,0.1,888.99,8000.89,Mobile App,Credit Card,2024,3,1
2023-04-24,CUST_5951,Regular,Asia,Bangkok,Toys,Board Games,71.81,8,574.5,0.1,57.45,517.05,Phone,Credit Card,2023,4,2
2022-10-14,CUST_3222,Premium,Asia,Hong Kong,Electronics,Laptop,562.42,5,2812.09,0.1,281.21,2530.88,Phone,Digital Wallet,2022,10,4
2024-01-30,CUST_7686,Premium,Europe,Madrid,Automotive,Electronics,1275.49,5,6377.43,0.1,637.74,5739.69,Mobile App,Credit Card,2024,1,1
2024-01-29,CUST_9920,Budget,Australia,Melbourne,Sports,Running Shoes,39.78,9,358.0,0.1,35.8,322.2,Mobile App,Credit Card,2024,1,1
2024-03-26,CUST_1349,Premium,North America,Toronto,Books,Non-Fiction,54.77,5,273.83,0.1,27.38,246.45,Online,Cash,2024,3,1
2023-05-14,CUST_6383,Regular,Europe,London,Home & Garden,Decor,313.87,4,1255.49,0.1,125.55,1129.94,In-Store,Bank Transfer,2023,5,2
2022-01-06,CUST_1422,Budget,Europe,Rome,Books,Non-Fiction,29.36,3,88.08,0.1,8.81,79.27,In-Store,Credit Card,2022,1,1
2024-01-04,CUST_7897,Regular,Asia,Tokyo,Sports,Gym Equipment,101.65,4,406.6,0.1,40.66,365.94,Online,Credit Card,2024,1,1
2024-09-02,CUST_9543,Regular,North America,Toronto,Toys,Puzzles,95.63,2,191.27,0.0,0.0,191.27,Mobile App,Digital Wallet,2024,9,3
2022-03-05,CUST_2204,Premium,Australia,Perth,Electronics,Headphones,1623.73,4,6494.9,0.1,649.49,5845.41,Online,Cash,2022,3,1
2022-10-31,CUST_9692,Budget,Asia,Bangkok,Clothing,Jeans,61.99,15,929.91,0.1,92.99,836.92,Mobile App,Digital Wallet,2022,10,4
2024-11-01,CUST_7779,Regular,North America,Vancouver,Automotive,Car Parts,487.06,4,1948.25,0.1,194.83,2279.45,Mobile App,Digital Wallet,2024,11,4
2024-03-27,CUST_3500,Budget,Asia,Hong Kong,Automotive,Car Parts,489.02,9,4401.16,0.1,440.12,3961.05,Phone,Credit Card,2024,3,1
2022-07-06,CUST_1982,Budget,Australia,Sydney,Clothing,T-Shirt,116.28,15,1744.24,0.1,174.42,1726.8,Mobile App,Credit Card,2022,7,3
2024-04-21,CUST_9313,Budget,North America,Chicago,Beauty,Perfume,43.73,15,655.96,0.1,65.6,590.36,In-Store,Debit Card,2024,4,2
2024-09-14,CUST_4705,Budget,Asia,Bangkok,Sports,Basketball,42.71,9,384.42,0.1,38.44,345.98,Phone,Bank Transfer,2024,9,3
2022-02-23,CUST_1100,Budget,Europe,Berlin,Books,Fiction,32.8,9,295.23,0.1,29.52,265.7,In-Store,Debit Card,2022,2,1
2024-03-31,CUST_6585,Regular,North America,New York,Clothing,Jeans,87.71,8,701.72,0.1,70.17,631.55,In-Store,Cash,2024,3,1
2023-10-01,CUST_1815,Regular,North America,New York,Beauty,Bath Products,36.25,10,362.5,0.1,36.25,326.25,Online,Cash,2023,10,4
2024-06-26,CUST_2864,Budget,Australia,Perth,Automotive,Maintenance,205.81,15,3087.13,0.1,308.71,3056.26,Mobile App,Digital Wallet,2024,6,2
2022-08-16,CUST_1897,Budget,Australia,Adelaide,Books,Children,8.27,12,99.26,0.1,9.93,98.27,Online,Debit Card,2022,8,3
2023-09-10,CUST_8055,Budget,Asia,Seoul,Sports,Tennis Racket,43.68,12,524.12,0.1,52.41,471.71,In-Store,Debit Card,2023,9,3
2024-02-18,CUST_8147,VIP,Asia,Tokyo,Sports,Gym Equipment,525.35,1,525.35,0.05,26.27,499.09,Online,Digital Wallet,2024,2,1
2022-06-09,CUST_5743,VIP,Australia,Adelaide,Beauty,Bath Products,221.56,4,886.26,0.15,132.94,828.65,Online,Digital Wallet,2022,6,2
2022-02-12,CUST_4986,Premium,Australia,Brisbane,Beauty,Makeup,110.93,1,110.93,0.0,0.0,110.93,Phone,Bank Transfer,2022,2,1
2024-03-31,CUST_2251,Regular,Asia,Seoul,Clothing,Shoes,79.95,4,319.81,0.1,31.98,287.83,Online,Bank Transfer,2024,3,1
2024-11-10,CUST_4232,Regular,Asia,Singapore,Sports,Yoga Mat,57.76,6,346.54,0.1,34.65,405.46,In-Store,Bank Transfer,2024,11,4
2022-11-10,CUST_6295,VIP,Australia,Perth,Clothing,Jeans,285.21,5,1426.04,0.15,213.91,1575.77,Mobile App,Debit Card,2022,11,4
2024-06-19,CUST_9312,Budget,Australia,Brisbane,Clothing,Shoes,88.52,9,796.67,0.1,79.67,788.7,Online,Cash,2024,6,2
2024-08-03,CUST_9307,Budget,North America,Chicago,Toys,Board Games,18.3,3,54.89,0.1,5.49,54.34,Phone,Digital Wallet,2024,8,3
2022-03-26,CUST_8381,VIP,Europe,Berlin,Toys,Outdoor Toys,120.22,1,120.22,0.05,6.01,114.21,Online,Cash,2022,3,1
2022-06-22,CUST_3600,VIP,Europe,Madrid,Home & Garden,Furniture,571.66,5,2858.31,0.15,428.75,2672.52,Mobile App,Cash,2022,6,2
2023-08-03,CUST_2079,Premium,Asia,Bangkok,Automotive,Maintenance,1215.46,3,3646.37,0.1,364.64,3609.91,Mobile App,Credit Card,2023,8,3
2024-03-02,CUST_6731,Premium,Europe,Berlin,Books,Educational,49.96,2,99.93,0.0,0.0,99.93,Mobile App,Digital Wallet,2024,3,1
2022-09-22,CUST_2531,Regular,Australia,Brisbane,Clothing,Dress,140.62,10,1406.21,0.1,140.62,1265.59,Phone,Bank Transfer,2022,9,3
2024-01-12,CUST_4145,Regular,Asia,Singapore,Electronics,Tablet,815.12,8,6520.95,0.1,652.09,5868.85,In-Store,Debit Card,2024,1,1
2022-11-14,CUST_3147,Premium,North America,Vancouver,Clothing,Dress,208.72,5,1043.6,0.1,104.36,1221.02,Phone,Debit Card,2022,11,4
2022-11-29,CUST_8277,Premium,Europe,Madrid,Home & Garden,Decor,352.33,2,704.66,0.0,0.0,916.06,Mobile App,Digital Wallet,2022,11,4
2023-04-25,CUST_8218,Budget,Australia,Melbourne,Sports,Yoga Mat,149.2,15,2238.0,0.1,223.8,2014.2,Phone,Cash,2023,4,2
2024-02-22,CUST_8873,Regular,Europe,Rome,Automotive,Accessories,885.7,2,1771.4,0.0,0.0,1771.4,Mobile App,Bank Transfer,2024,2,1
2022-07-30,CUST_3414,Budget,North America,Los Angeles,Clothing,Dress,70.61,15,1059.21,0.1,105.92,1048.62,Phone,Credit Card,2022,7,3
2023-03-31,CUST_4862,Premium,North America,Toronto,Toys,Puzzles,77.57,3,232.72,0.1,23.27,209.45,Phone,Credit Card,2023,3,1
2024-02-07,CUST_1627,Budget,Asia,Tokyo,Sports,Basketball,170.57,6,1023.43,0.1,102.34,921.08,Mobile App,Digital Wallet,2024,2,1
2022-10-12,CUST_9991,Premium,North America,New York,Toys,Educational Toys,60.71,2,121.42,0.0,0.0,121.42,Phone,Credit Card,2022,10,4
2023-08-14,CUST_8489,Regular,North America,New York,Sports,Yoga Mat,143.35,10,1433.53,0.1,143.35,1419.19,Online,Credit Card,2023,8,3
2024-10-20,CUST_6780,Budget,Europe,Paris,Electronics,Smartwatch,680.84,15,10212.62,0.1,1021.26,9191.35,In-Store,Bank Transfer,2024,10,4
2024-05-03,CUST_1713,Premium,Asia,Tokyo,Home & Garden,Furniture,338.56,4,1354.23,0.1,135.42,1218.8,Phone,Cash,2024,5,2
2023-06-04,CUST_6447,Regular,North America,Chicago,Electronics,Tablet,1519.29,2,3038.59,0.0,0.0,3342.45,In-Store,Credit Card,2023,6,2
2023-12-23,CUST_8498,Regular,Australia,Perth,Beauty,Makeup,124.55,2,249.1,0.0,0.0,323.84,Online,Cash,2023,12,4
2023-02-17,CUST_8756,Budget,North America,Chicago,Electronics,Smartphone,789.38,15,11840.75,0.1,1184.07,10656.67,Mobile App,Credit Card,2023,2,1
2023-01-27,CUST_8159,Budget,North America,Chicago,Books,Educational,10.49,9,94.37,0.1,9.44,84.93,Phone,Digital Wallet,2023,1,1
2024-03-02,CUST_5369,Budget,Australia,Perth,Beauty,Makeup,97.85,15,1467.71,0.1,146.77,1320.94,Online,Digital Wallet,2024,3,1
2022-06-11,CUST_6372,Budget,Europe,Rome,Automotive,Electronics,272.36,3,817.09,0.1,81.71,808.92,Mobile App,Cash,2022,6,2
2024-07-02,CUST_8126,VIP,Australia,Brisbane,Automotive,Accessories,276.24,3,828.72,0.15,124.31,774.85,Mobile App,Credit Card,2024,7,3
2022-06-03,CUST_1570,Regular,Europe,London,Automotive,Tools,863.8,8,6910.42,0.1,691.04,6841.31,In-Store,Credit Card,2022,6,2
2023-04-29,CUST_7077,Premium,Australia,Adelaide,Beauty,Haircare,145.03,4,580.13,0.1,58.01,522.11,Mobile App,Digital Wallet,2023,4,2
2022-06-07,CUST_2858,Budget,Asia,Hong Kong,Home & Garden,Decor,239.61,6,1437.67,0.1,143.77,1423.29,Online,Debit Card,2022,6,2
2024-10-19,CUST_5678,Budget,North America,Chicago,Automotive,Electronics,513.54,6,3081.26,0.1,308.13,2773.14,Phone,Debit Card,2024,10,4
2022-09-09,CUST_6692,VIP,Australia,Melbourne,Home & Garden,Furniture,997.54,3,2992.61,0.15,448.89,2543.72,Online,Bank Transfer,2022,9,3
2023-08-18,CUST_3275,Regular,Europe,Berlin,Books,Non-Fiction,14.85,4,59.42,0.1,5.94,58.82,In-Store,Digital Wallet,2023,8,3
2022-02-23,CUST_2077,Regular,Asia,Hong Kong,Beauty,Bath Products,97.61,2,195.23,0.0,0.0,195.23,Mobile App,Digital Wallet,2022,2,1
2024-09-07,CUST_8632,Budget,North America,Los Angeles,Automotive,Maintenance,474.67,12,5696.08,0.1,569.61,5126.47,Mobile App,Debit Card,2024,9,3
2023-01-08,CUST_6286,Regular,North America,New York,Home & Garden,Lighting,186.86,4,747.42,0.1,74.74,672.68,In-Store,Cash,2023,1,1
2024-11-28,CUST_9740,Budget,Asia,Singapore,Books,Fiction,10.5,9,94.54,0.1,9.45,110.62,Online,Bank Transfer,2024,11,4
2022-12-12,CUST_2330,Premium,Asia,Bangkok,Home & Garden,Kitchen Appliances,632.03,1,632.03,0.0,0.0,821.64,Online,Bank Transfer,2022,12,4
2023-06-27,CUST_5745,Premium,Australia,Adelaide,Sports,Gym Equipment,246.71,5,1233.53,0.1,123.35,1221.19,Mobile App,Digital Wallet,2023,6,2
2023-05-17,CUST_8933,Premium,Australia,Sydney,Automotive,Tools,363.41,4,1453.63,0.1,145.36,1308.27,Phone,Debit Card,2023,5,2
2023-11-28,CUST_9437,VIP,Asia,Seoul,Home & Garden,Garden Tools,217.69,3,653.07,0.15,97.96,721.64,Online,Cash,2023,11,4
2023-05-11,CUST_5754,Regular,Asia,Hong Kong,Toys,Board Games,31.27,2,62.54,0.0,0.0,62.54,Phone,Bank Transfer,2023,5,2
2024-05-06,CUST_9163,Budget,Asia,Bangkok,Sports,Tennis Racket,56.88,6,341.27,0.1,34.13,307.14,Phone,Digital Wallet,2024,5,2
2023-09-24,CUST_6781,VIP,North America,Toronto,Toys,Board Games,194.67,2,389.34,0.05,19.47,369.87,Online,Credit Card,2023,9,3
2023-07-31,CUST_3194,Premium,Australia,Brisbane,Toys,Outdoor Toys,131.66,4,526.64,0.1,52.66,521.38,Mobile App,Cash,2023,7,3
2024-04-05,CUST_2204,Regular,Australia,Sydney,Beauty,Skincare,63.94,6,383.64,0.1,38.36,345.28,Phone,Bank Transfer,2024,4,2
2024-07-11,CUST_6990,Premium,North America,Los Angeles,Books,Biography,38.63,3,115.9,0.1,11.59,114.74,In-Store,Debit Card,2024,7,3
2024-11-08,CUST_8761,Premium,North America,New York,Automotive,Electronics,335.0,3,1005.0,0.1,100.5,1175.85,Phone,Debit Card,2024,11,4
2024-11-21,CUST_6511,VIP,Asia,Singapore,Home & Garden,Garden Tools,991.55,3,2974.66,0.15,446.2,3287.0,Phone,Bank Transfer,2024,11,4
2023-09-06,CUST_6040,Premium,Asia,Seoul,Toys,Board Games,147.59,5,737.94,0.1,73.79,664.14,Online,Bank Transfer,2023,9,3
2024-08-29,CUST_7229,VIP,Europe,London,Books,Children,33.64,5,168.2,0.15,25.23,157.27,In-Store,Debit Card,2024,8,3
2022-03-06,CUST_4340,Budget,North America,Toronto,Clothing,Jeans,66.77,12,801.2,0.1,80.12,721.08,Phone,Bank Transfer,2022,3,1
2024-08-23,CUST_9609,Regular,Europe,Rome,Electronics,Smartwatch,1209.6,8,9676.77,0.1,967.68,9580.0,Phone,Cash,2024,8,3
2022-12-21,CUST_8932,Budget,Asia,Bangkok,Toys,Outdoor Toys,51.85,9,466.64,0.1,46.66,545.97,In-Store,Debit Card,2022,12,4
